Country,Name,Status,Year,Owner,Turbine_type,Number_turbines,Turbine_model,Proxy_turbine,Turbine_MW,Rotor_radius,Airgap,Data_source,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Kincardine,Production,2021,Cobra Group,Floating,6,Five Vestas V164-9.5 MW and one V80-2 MW,,"9.5, 2",82,,https://www.principlepower.com/news/kowl-worlds-largest-floating-windfarm-fully-operational,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Moray Offshore Windfarm (East),Production,2021,OceanWinds,Fixed,100,V164-9.5MW,,9.5,82,,https://www.morayeast.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hornsea Project 2 (HOW02) Wind Farm,Production,2022,�rsted,Fixed,165,SG 8.0-167 DD,,8,81.4,,https://hornseaprojects.co.uk/hornsea-project-two,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Triton Knoll,Production,2022,"RWE, J-Power, Kansai Electric Power",Fixed,90,V164-9.5,,9.5,82,,https://www.tritonknoll.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Seagreen Phase 1 Windfarm,Construction,2023,"TotalEnergies, SSE Renewables",Fixed,114,V164-10,,10,82,,https://www.sserenewables.com/offshore-wind/projects/seagreen/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Neart Na Gaoithe Offshore Wind,Construction,2024,EDF Renewables UK,Fixed,54,SG 8.0-167 DD,,8,81.4,,https://nngoffshorewind.com/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Blyth Demonstration Phases 2&3,Approved,2025,EDF Renewables,Floating,Four turbines of up to 258 m to tip or five turbines of up to 222 m to tip,,,up to 14,110,,https://www.edfenergy.com/media-centre/news-releases/blyth-offshore-wind-farm-phase-two-expansion-underway-using-floating,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Inch Cape Offshore Wind Farm,Approved,2025,"Red Rock Power, ESB",Fixed,72,V236-15.0,,15,118,,https://www.inchcapewind.com/the-wind-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Moray West,Approved,2025,OceanWinds,Fixed,60,SG 14-222 DD,,14,111,,https://www.moraywest.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dogger Bank A,Construction,2026,"SSE, Equinor, V�rgr�nn",Fixed,95,GE�s Haliade-X,,14,110,,https://www.sserenewables.com/offshore-wind/projects/dogger-bank/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dogger Bank B,Construction,2026,"SSE, Equinor, V�rgr�nn",Fixed,95,GE�s Haliade-X,,14,110,,https://www.sserenewables.com/offshore-wind/projects/dogger-bank/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dogger Bank C,Approved,2026,"SSE, Equinor, V�rgr�nn",Fixed,87,GE�s Haliade-X,,14,110,,https://www.sserenewables.com/offshore-wind/projects/dogger-bank/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,East Anglia ONE NORTH,Approved,2026,ScottishPower,Fixed,67,,,12,110,,https://www.power-technology.com/marketdata/east-anglia-one-north-scottishpower-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,East Anglia THREE,Construction,2026,ScottishPower,Fixed,100,,, 7 - 12,110,,https://www.power-technology.com/projects/east-anglia-three-offshore-wind-farm-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hornsea Project Three (HOW03),Approved,2026,�rsted,Fixed,231,,,12.4,110,,https://hornseaproject3.co.uk/about-the-project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Pentland Floating Offshore Wind Farm,Approved,2026,Highland Wind,Floating,6,,,17,120,,https://pentlandfloatingwind.com/the-project/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Sofia,Construction,2026,RWE,Fixed,100,SG 14-222 DD,,14,111,,https://sofiawindfarm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Arven Offshore Wind Farm,Planned,2027,"Mainstream Renewable Power, EDP Renovaveis, Engie",Floating,120,,IEA-15MW-240-RWT,15,120,30,https://www.mainstreamrp.com/markets-projects/europe/united-kingdom/arven-scotwind-wind-farm/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Dudgeon Extension,Planned,2027,"Equinor, China Resources, Masdar",Fixed,30,,,13.4,110,,https://www.power-technology.com/marketdata/power-plant-profile-dudgeon-offshore-wind-farm-extension-project-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Norfolk Boreas,Approved,2027,Vattenfall,Fixed,137,SG 14-236 DD,,14,118,,https://www.power-technology.com/projects/norfolk-boreas-offshore-wind-farm-uk/#catfish,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Norfolk Vanguard Wind Farm,Approved,2027,Vattenfall,Fixed,158,SG 14-236 DD,,14,118,,https://www.power-technology.com/marketdata/power-plant-profile-norfolk-vanguard-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Bellrock,Planned,2028,"BlueFloat Energy, Renantis",Floating,80,,IEA-15MW-240-RWT,15,120,30,https://www.bellrockwind.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Berwick Bank Wind Farm,Approved,2028,SSE Renwables,Fixed,154,,IEA-15MW-240-RWT,15,120,30,https://www.berwickbank.com/project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Campion,Planned,2028,ScottishPower and Shell,Floating,100,,,20,135,,https://www.power-technology.com/marketdata/power-plant-profile-campion-wind-offshore-project-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Hornsea Project Four (HOW04),Planned,2028,�rsted,Fixed,180,,,14.5,110,,https://hornseaprojects.co.uk/hornsea-project-four/about-the-project-4,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Marr Bank Wind Farm,Approved,2028,SSE Renwables,Fixed,124,,IEA-15MW-240-RWT,15,120,30,https://www.berwickbank.com/project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Marram,Planned,2028,"ScottishPower, Shell",Floating,150,,,20,135,,https://www.power-technology.com/marketdata/power-plant-profile-marram-wind-offshore-project-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Ossian Offshore Wind Farm,Planned,2028,"SSE Renewables, Marubeni, CIP",Floating,240,,IEA-15MW-240-RWT,15,120,30,https://www.ossianwindfarm.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,West of Orkney Wind Farm,Planned,2029,"Corio, TotalEnergies, RIDG",Fixed,133,,IEA-15MW-240-RWT,15,120,30,https://www.westoforkney.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Broadshore,Planned,2030,BlueFloat Energy & Renantis,Floating,60,,IEA-15MW-240-RWT,15,120,30,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Buchan Offshore Wind Farm,Planned,2030,"BW Ideol, Elicio, BayWa r.e.",Floating,64,,IEA-15MW-240-RWT,15,120,30,https://buchanoffshorewind.com/about,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Caledonia Offshore Wind Farm,Planned,2030,Ocean Winds,Mixed: three quarters fixed,84,,,24,135,,https://www.caledoniaoffshorewind.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,East Anglia TWO,Planned,2030,ScottishPower,Fixed,75,,,19,125,,https://www.power-technology.com/projects/east-anglia-two-offshore-wind-farm-north-sea/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Five Estuaries,Planned,2030,RWE Renewables UK,Fixed,48-79,,,6.3,77,,https://fiveestuaries.co.uk/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Forthwind Methil Demonstration,Approved,2030,Cierco wind,Floating,2,2B6,,9,128,25,https://forthwind.co.uk/project,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Morven,Planned,2030,"BP, EnBW",Fixed,194,,IEA-15MW-240-RWT,15,120,30,https://www.power-technology.com/marketdata/power-plant-profile-morven-offshore-wind-project-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Muir Mhor Offshore Wind Farm,Planned,2030,Muir Mh�r�Offshore Wind Farm Ltd,Floating,54,,IEA-15MW-240-RWT,15,120,30,https://muirmhor.co.uk/about/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,North Falls,Approved,2030,"RWE Renewables, SSE Renewables",Fixed,72,,,7,77,,https://www.power-technology.com/marketdata/power-plant-profile-north-falls-offshore-wind-farm-uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,R4 Project 1 (Dogger Bank South West),Planned,2030,RWE,Fixed,150,,,10,82,,https://doggerbanksouth.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,R4 Project 2 (Dogger Bank South East),Planned,2030,RWE,Fixed,150,,,10,82,,https://doggerbanksouth.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,R4 Project 3 (Outer Dowsing),Planned,2030,"Total Energies, Corio Generation, Gulf Energy Developments",Fixed,150,,,10,82,,https://www.outerdowsing.com/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Seagreen 1A Offshore Wind Farm,Approved,2030,"TotalEnergies, SSE Renewables",Fixed,36,,,14,110,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Sheringham Shoal Extension,Planned,2030,Equinor,Fixed,21,,IEA-15MW-240-RWT,15,120,,https://www.equinor.com/news/uk/sheringham-shoal-and-dudgeon-extensions-secure-pathfinder-status,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Shetland NE1: map reference 20,Planned,2030,ESB Asset Development,Floating,33,,IEA-15MW-240-RWT,15,120,,https://www.crownestatescotland.com/news/three-shetland-scotwind-projects-announced,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
United Kingdom,Stromar,Planned,2030,"�rsted, BlueFloat Energy, Renantis ",Floating,67,,IEA-15MW-240-RWT,15,120,30,https://www.stromarwind.co.uk/,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
