Source,Source_type,Source_code,Genus,Species,Common_name,Type,Year,Month,Day,Locality,Added_Z.,Registration_number,Photo_number,Notes,Sex,Phase
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1875,,,,,Z.1990.015.019,802,note said it was macerated 1875,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1875,,,,,Z.1990.15.16,"882, 883",,,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1908,,,,,1908.047,"894, 895",,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1929,9,4,"Aberlady, East Lothian, Scotland, Northern Europe",x,1929.119,"890, 891",,,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1929,,,,x,1929.117,"892, 893","locality, but unable to read it, trompeat moos, shows up as turtle dove in online database",,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1932,,,,,1990.015.015,"868, 869","box with 2 skeletons, disarticulated in 1932",,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1968,1,19,"Silverknowes, Edinburgh, Midlothian, Scotland, Northern Europe",,Z.1990.15.22,"886, 887",,,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1981,10,13,"Port Gordon, Banff, Morayshire, Scotland, Northern Europe",,Z.1982.35,"875, 876",teeth are in the skull,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1984,6,8,"Fife Ness, Fife, Scotland, Northern Europe",,Z.1989.23.2,"880, 881",teeth are in skull,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1988,6,1,"Derbyhaven Bay, Isle of Man, Northern Europe",,Z.1990.128.4,NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,12,6,"Scalloway, Mainland, Shetland, Scotland, Northern Europe",,Z.1990.123.1,"803, 804",10 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,12,6,"Scalloway, Mainland, Shetland, Scotland, Northern Europe",,Z.1990.123.3,"809, 810",6 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,12,2,"Shetland, Scotland, Northern Europe",,Z.1990.123.2,"811, 812",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,2,"27 miles SSE of Bard Head, Bressay, Shetland, Scotland, Northern Europe

",,Z.1990.123.7,"813, 814",5 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,30,"6 miles W of Hamnavoe, West Burra, Shetland, Scotland, Northern Europe

",,Z.1990.123.6,"815, 816",2 years,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,13,"13 miles SW of Scalloway, Mainland, Shetland, Scotland, Northern Europe

",,Z.1990.123.5,"817, 818",4 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,24,"8 miles W of Hamnavoe, West Burra, Shetland, Scotland, Northern Europe

",,Z.1990.123.10,"819, 820",3 years,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,24,"8 miles W of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.9,"821, 822",1 year,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,20,"12 miles SW of Scalloway, Mainland, Shetland, Scotland, Northern Europe",,Z.1990.123.8,"823, 824",4 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,7,27,"7 miles WSW of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.13,"825, 826",3 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,24,"8 miles W of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.12,"827, 828",10 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,23,"2-3 miles W of Fitful Head, Mainland, Shetland, Scotland, Northern Europe

",,Z.1990.123.11,"829, 830",2 years,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,7,28,"Out Skerries, Shetland, Scotland, Northern Europe",,Z.1990.123.16,"831, 832",5 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,11,1,"Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.15,"833, 834",9 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,10,14,"10 miles WSW of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.123.14,"835, 836",1 year,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,7,10-11,"E of Bressay, Shetland, Scotland, Northern Europe",,Z.1990.123.18,"839, 840",9 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,8,5,"St Ninian's Isle, Shetland, Scotland, Northern Europe",,Z.1990.123.17,"841, 842",8 years,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,3,2,"16 miles WSW of Hamnavoe Light, West Burra, Shetland, Scotland, Northern Europe",,Z.1990.128.3,"843, 844",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,2,16,"3 miles offshore from Folkestone, Kent, England, Northern Europe",,Z.1990.128.5,"849, 850",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1989,2,16,"3 miles offshore from Folkestone, Kent, England, Northern Europe",,Z.1990.128.6,"855, 856",,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1990,9,24,"Findhorn, Morayshire, Scotland, Northern Europe",x,1992.29.13,,,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,12,12,"Sennen Cove, Cornwall, England, Northern Europe",,Z.1991.145.5,"733, 734",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,11,29,"Isle of Sheppey, Kent, England, Northern Europe",,Z.1991.145.4,"735, 736",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,,,"Sunderland, County Durham, England, Northern Europe",,Z.1991.123.11,"737, 738",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,,,"Teeside, England, Northern Europe",,Z.1990.123.4,"807, 808",1 year,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,,,"Bridlington, Yorkshire, England, Northern Europe",,Z.1991.123.2,"845, 846",6 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,,,"Blackwater River, Essex, England, Northern Europe",,Z.1991.123.1 ,"847, 848",3 years,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,,,"Blackwater River, Essex, England, Northern Europe",,Z.1991.123.4,"851, 852",1 year,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,,,"Portslade, East Sussex, England, Northern Europe",,Z.1991.123.3,"853, 854",0 years,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,6,7,"Shetland, Scotland, Northern Europe",,Z.1991.123.7,"857, 858",3 years,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1990,,,"Skegness, Lincolnshire, England, Northern Europe",,Z.1991.123.6,NA,0 years,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,5,13,"Raasay, Inverness-shire, Scotland, Northern Europe",,Z.1991.123.5,"859, 860",4 years,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,8,14,"Balmedie, Aberdeenshire, Scotland, Northern Europe",,Z.1991.123.10,"861, 862",,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,8,,"Shetland, Scotland, Northern Europe",,Z.1991.123.9,"863, 864","2 years, collected between 7-9, chose 8 as median",Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1990,8,,"Shetland, Scotland, Northern Europe",,Z.1991.123.8,"865, 866","2 years, collected between 7-9, chose 8 as median",Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,9,12,"Caernarfon, Wales, Northern Europe",x,1992.24.11,683,photos on digital camera,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,11,30,"Sunderland, County Durham, England, Northern Europe",x,1992.24.10,684,photos on digital camera,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,9,30,"Burghead, Morayshire, Scotland, Northern Europe",x,1992.29.1,685,photos on digital camera,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,11,13,"Aberlady, East Lothian, Scotland",,Z.1992.25,686,photos on digital camera,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,10,22,"Cardigan Island, Dyfed, Wales, Northern Europe",,Z.1992.24.13,687,,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1991,7,12,"St Andrews, Fife, Scotland, Northern Europe",x,1992.29.5,,,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1991,6,16,"St Andrews, Fife, Scotland, Northern Europe",x,1992.29.3,,,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,6,25,"Lossiemouth, Morayshire, Scotland, Northern Europe",,Z.1992.29.9,688,,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,9,9,"Portessie, Banffshire, Scotland, Northern Europe",,Z.1992.29.8,"689, 690",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,19,"Lunan Bay, Angus, Scotland, Northern Europe",,Z.1992.29.6,"691, 692",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,10,9,"Cromarty, Ross and Cromarty, Scotland, Northern Europe",,Z.1992.29.12,"693, 694",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,6,10,"Firth of Clyde, North Atlantic, ATLANTIC OCEAN",,Z.1992.29.11,"695, 696",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,22,"90 miles east of Lerwick, Shetland, Scotland, Northern Europe

",,Z.1992.29.10,"697, 698",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,17,"Carne beach, Veryan, Cornwall, England, Northern Europe",,Z.1992.150.4,"705, 706",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with some teeth,1991,4,13,"Spurn Point, Humberside, England, Northern Europe",x,1992.150.31,"707, 708",just one tooth next to the skull,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1991,7,14,"Hedon Creek, Humberside, England, Northern Europe",x,1992.150.33,NA,,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,5-7,"Southwold, Suffolk, England, Northern Europe",,Z.1991.145.11,"739, 740",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,5,"Shanklin, Isle of Wight, England, Northern Europe",,Z.1991.145.9,"741, 742",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,1,19,"Broadstairs, Kent, England, Northern Europe",,Z.1991.145.8,"743, 744, 745",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,14,"South Shields, Durham, England, Northern Europe",,Z.1991.145.12,"746, 747",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,16,"Bexhill-on-Sea, East Sussex, England, Northern Europe",,Z.1991.145.13,"748, 749",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,1991,1,,"Penzance, Cornwall, England, Northern Europe",,Z.1991.145.7,"750, 751",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,17,"Veryan, Cornwall, England, Northern Europe",,Z.1991.145.16,"752, 753",just one tooth,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,27,"South Shields, Durham, England, Northern Europe",,Z.1991.145.17,"754, 755",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,7,"Holderness, Yorkshire, England, Northern Europe",,Z.1991.145.14,"756, 757",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,4,20,"Filey, Yorkshire, England, Northern Europe",,Z.1991.145.21,"758, 759",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,4,2,"Victoria Fort, Isle of Wight, England, Northern Europe",,Z.1991.145.18,"760, 761",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,27,"South Shields, Durham, England, Northern Europe",,Z.1991.145.17,NA,broken skull no pics,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,8,29,"Hornsea, Yorkshire, England, Northern Europe",,Z.1991.145.28,"762, 763",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,9,16,"Clacton, Essex, England, Northern Europe",,Z.1991.145.25,"764, 765",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,5,13,"Foulness Point, Essex, England, Northern Europe",,Z.1991.145.23,"766, 767",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1991,6,26,"Hunstanton, Norfolk, England, Northern Europe",x,1991.145.30,NA,half a tooth,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1991,6,29,"Amroth Beach, Tenby, Pembroke, Wales, Northern Europe",x,1991.145.31,NA,,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,1991,6,18,"Cuminestown, Aberdeenshire, Scotland, Northern Europe",x,1991.146.14,"768, 769",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,13,"NW of Foula, Shetland, Scotland, Northern Europe",,Z.1991.146.4,"770, 771",,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,14,"Lossiemouth, Morayshire, Scotland, Northern Europe",,Z.1991.146.6,"776, 777",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,13,"NW of Foula, Shetland, Scotland, Northern Europe",,Z.1991.146.5,"778, 779",,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,4,25,"Nairn, Nairnshire, Scotland, Northern Europe",,Z.1991.146.7,"780, 781",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,5,6,"Cullen, Banffshire, Scotland, Northern Europe",,Z.1991.146.10,"782, 783",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,5,3,"Nairn, Nairnshire, Scotland, Northern Europe",,Z.1991.146.9,"784, 785",,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,4,25,"Cullen, Banffshire, Scotland, Northern Europe",,Z.1991.146.8,"786, 787",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,6,,"Shandwick Bay, Ross and Cromarty, Scotland, Northern Europe",,Z.1991.146.16,"788, 789",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,6,18,"Ardersier, Inverness-shire, Scotland, Northern Europe",,Z.1991.146.15,"790, 791",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1991,6,17,"Arisaig, Inverness-shire, Scotland, Northern Europe",,Z.1991.146.13,NA,,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,6,6,"Nairn, Nairnshire, Scotland, Northern Europe",,Z.1991.146.12,"792, 793",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,5,25,"Tongue, Sutherland, Scotland, Northern Europe",,Z.1991.146.11,"794, 795",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,6,10,"Llandwg beach, Gwynedd, Wales, Northern Europe",x,1993.73.16,"1135, 1136",,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,13,,x,1993.73.17,"1137, 1138",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,3,9,"Amble, Northumberland, England, Northern Europe",x,1993.73.14,"1139, 1140",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1991,2,18,"Bridlington Bay, Yorkshire, England, Northern Europe",x,1993.73.18,"1145, 1146",,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,9,6,"Findhorn, Morayshire, Scotland, Northern Europe",x,1992.151.24,676,photos on digital camera,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,7,19,"Tywyn, Cornwall, England, Northern Europe",x,1992.150.27,677,photos on digital camera,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,12,5,"Kirkwall, Orkney, Scotland, Northern Europe",x,1992.151.30,678,photos on digital camera,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,11,20,"Gairloch, Ross and Cromarty, Scotland, Northern Europe",x,1992.151.33,679,photos on digital camera,Male,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,11,16,"Dunnet, Caithness, Scotland, Northern Europe",x,1992.151.36,680,photos on digital camera,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,8,12,"Nairn, Nairnshire, Scotland, Northern Europe",x,1992.151.39,681,photos on digital camera,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,1992,7,24,"Shetland, Scotland, Northern Europe",x,1992.151.42,NA,,Male,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,1992,7,9,"Covesea, Morayshire, Scotland, Northern Europe",x,1992.151.40,NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,7,6,"Stornoway, Lewis, Ross and Cromarty, Scotland, Northern Europe",x,1992.151.41,682,photos on digital camera,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,4,1,"Aberdeen, Aberdeenshire, Scotland, Northern Europe",,Z.1992.62.6,"701, 702",,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,jaws with teeth,1992,6,24,"Isle of Sheppey, Kent, England, Northern Europe",x,1992.150.29,NA,,,
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,7,24,"west of Hamnavoe, Mainland, Shetland, Scotland, Northern Europe",,Z.1992.151.6,"711, 712",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,1,30,"Portscatho, Cornwall, England, Northern Europe",x,1992.150.49,"713, 714",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,1,15,"Sutton-on-Sea, Lincolnshire, England, Northern Europe",x,1992.150.48,"715, 716",,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull without teeth,1992,9,29,"Lossiemouth, Morayshire, Scotland, Northern Europe",,Z.1992.151.10,"717, 718",,Female,Subadult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,7,5,"Nairn, Nairnshire, Scotland, Northern Europe",,Z.1992.151.9,"719, 720",,Female,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,teeth,1992,5,25,"Shandwick Bay, Ross and Cromarty, Scotland, Northern Europe",,Z.1992.151.8,NA,,Female,Juvenile
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,6,22,"Stromness, Orkney, Scotland, Northern Europe",x,1992.151.20,"721, 722",,Male,Adult
National Museums Scotland,visit,specimen number,Phocoena,phocoena,Harbor porpoise,skull with teeth,1992,10,7,"Lossiemouth, Morayshire, Scotland, Northern Europe",x,1992.151.17,"723, 724",,Male,Juvenile
