mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year
M1814/92,Cetacean,Harbour porpoise,Single,181,Phocoena phocoena,Harbour porpoise,1992-08-11,Exact,57.5897789,-3.953813076,F,120,FALSE,unknown,necropsied,1992
M1970/92,Cetacean,Harbour porpoise,Single,197,Phocoena phocoena,Harbour porpoise,1992-08-30,Exact,54.86962891,-3.645515203,F,158,FALSE,advanced decomposition (code 4),necropsied,1992
M2030/92,Cetacean,Harbour porpoise,Single,203,Phocoena phocoena,Harbour porpoise,1992-09-06,Exact,57.66300201,-3.602365017,F,121,FALSE,Slight decomposition (code 2b),necropsied,1992
M2195/92,Cetacean,Harbour porpoise,Single,219,Phocoena phocoena,Harbour porpoise,1992-09-22,Exact,57.67107773,-2.544809341,F,122,FALSE,advanced decomposition (code 4),necropsied,1992
M2212/92,Cetacean,Harbour porpoise,Single,221,Phocoena phocoena,Harbour porpoise,1992-09-23,Exact,57.67211533,-2.186050892,M,159,FALSE,Slight decomposition (code 2b),necropsied,1992
M2267/92,Cetacean,Harbour porpoise,Single,226,Phocoena phocoena,Harbour porpoise,1992-09-29,Exact,57.72118759,-3.307745457,F,136,FALSE,advanced decomposition (code 4),necropsied,1992
M2337/92,Cetacean,Harbour porpoise,Single,233,Phocoena phocoena,Harbour porpoise,1992-10-07,Exact,57.7254715,-3.32805419,M,107,FALSE,Slight decomposition (code 2b),necropsied,1992
M2476/92,Cetacean,Harbour porpoise,Single,247,Phocoena phocoena,Harbour porpoise,1992-10-14,Exact,57.69776917,-2.904243231,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1992
M2547/92,Cetacean,Harbour porpoise,Single,254,Phocoena phocoena,Harbour porpoise,1992-11-03,Exact,56.61849213,-2.482301235,M,124,FALSE,freshly dead- died on beach (code 2a),necropsied,1992
M2587/92,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1992-11-08,Exact,57.68148804,-3.140289545,U,156,TRUE,indeterminate (code 5),sampled,1992
M2630/92,Cetacean,Harbour porpoise,Single,263,Phocoena phocoena,Harbour porpoise,1992-11-13,Exact,57.6840744,-3.495938301,M,116,FALSE,Slight decomposition (code 2b),necropsied,1992
