mreference,class_field,subclass,event,eventnumberinyear,speciesscientific,speciescommon,datefound,datecertainty,latitudewgs84,longitudewgs84,sex,length,lengthuncertain,conditionfound,examinationlevel,Year,Source
M2378/93,Cetacean,Harbour porpoise,Single,237,Phocoena phocoena,Harbour porpoise,1993-10-10,Exact,55.57734299,-5.142621517,U,140,TRUE,advanced decomposition (code 4),not necropsied,1993,Modern
M2380/93,Cetacean,Harbour porpoise,Single,238,Phocoena phocoena,Harbour porpoise,1993-10-12,Exact,57.89080048,-4.008934975,M,142,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M2381/93,Cetacean,Harbour porpoise,Single,238,Phocoena phocoena,Harbour porpoise,1993-10-12,Exact,57.59012222,-3.87185359,M,137,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M2558/93,Cetacean,Harbour porpoise,Single,255,Phocoena phocoena,Harbour porpoise,1993-11-03,Exact,58.19206238,-6.369727135,M,151,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M2627/93,Cetacean,Harbour porpoise,Single,262,Phocoena phocoena,Harbour porpoise,1993-11-14,Exact,57.61042023,-7.1057477,M,107,FALSE,Slight decomposition (code 2b),necropsied,1993,Modern
M2626/93,Cetacean,Harbour porpoise,Single,262,Phocoena phocoena,Harbour porpoise,1993-11-14,Exact,57.21098709,-7.425130367,F,85,FALSE,unknown,necropsied,1993,Modern
M2648/93,Cetacean,Harbour porpoise,Single,264,Phocoena phocoena,Harbour porpoise,1993-11-18,Exact,57.69838715,-4.073781013,M,120,FALSE,freshly dead- died on beach (code 2a),necropsied,1993,Modern
M1/93,Cetacean,Harbour porpoise,Single,297,Phocoena phocoena,Harbour porpoise,1993-12-29,Exact,58.94126511,-3.087733984,U,NA,FALSE,Slight decomposition (code 2b),not necropsied,1993,Modern
M39/94,Cetacean,Harbour porpoise,Single,3,Phocoena phocoena,Harbour porpoise,1994-01-07,Exact,57.58790207,-3.900188208,F,160,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M83/94,Cetacean,Harbour porpoise,Single,8,Phocoena phocoena,Harbour porpoise,1994-01-14,Exact,57.67716599,-3.12170887,F,140,TRUE,indeterminate (code 5),not necropsied,1994,Modern
M84/94,Cetacean,Harbour porpoise,Single,8,Phocoena phocoena,Harbour porpoise,1994-01-17,Exact,57.64305496,-4.050509453,U,140,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M85/94,Cetacean,Harbour porpoise,Single,8,Phocoena phocoena,Harbour porpoise,1994-01-17,Exact,56.55151367,-2.595305443,M,140,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M449/94,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1994-01-28,Exact,58.46306229,-5.05659008,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M228/94,Cetacean,Harbour porpoise,Single,22,Phocoena phocoena,Harbour porpoise,1994-02-03,Exact,60.47046661,-1.481632471,U,160,TRUE,freshly dead- died on beach (code 2a),not necropsied,1994,Modern
M365/94,Cetacean,Harbour porpoise,Single,36,Phocoena phocoena,Harbour porpoise,1994-02-05,Exact,57.3021698,-1.993330359,U,NA,TRUE,unknown,not necropsied,1994,Modern
M665/94,Cetacean,Harbour porpoise,Single,66,Phocoena phocoena,Harbour porpoise,1994-02-05,Exact,57.26174545,-2.028148413,U,120,TRUE,freshly dead- died on beach (code 2a),not necropsied,1994,Modern
M232/94,Cetacean,Harbour porpoise,Single,23,Phocoena phocoena,Harbour porpoise,1994-02-05,Exact,57.70739746,-4.126329422,F,120,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M254/94,Cetacean,Harbour porpoise,Single,25,Phocoena phocoena,Harbour porpoise,1994-02-06,Exact,57.69164658,-3.989506483,F,150,FALSE,indeterminate (code 5),necropsied,1994,Modern
M237/94,Cetacean,Harbour porpoise,Single,23,Phocoena phocoena,Harbour porpoise,1994-02-07,Exact,57.6975975,-3.491466522,F,119,FALSE,advanced decomposition (code 4),necropsied,1994,Modern
M266/94,Cetacean,Harbour porpoise,Single,26,Phocoena phocoena,Harbour porpoise,1994-02-08,Exact,57.75027084,-3.917097569,M,130,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M291/94,Cetacean,Harbour porpoise,Single,29,Phocoena phocoena,Harbour porpoise,1994-02-11,Exact,58.89968109,-2.888560057,M,138,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M364/94,Cetacean,Harbour porpoise,Single,36,Phocoena phocoena,Harbour porpoise,1994-02-18,Exact,55.99900436,-2.88662529,F,112,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M392/94,Cetacean,Harbour porpoise,Single,39,Phocoena phocoena,Harbour porpoise,1994-02-23,Exact,57.66144562,-1.911134362,F,101,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M430/94,Cetacean,Harbour porpoise,Single,43,Phocoena phocoena,Harbour porpoise,1994-02-25,Exact,56.00434113,-3.533029795,M,138,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M429/94,Cetacean,Harbour porpoise,Single,42,Phocoena phocoena,Harbour porpoise,1994-03-01,Exact,57.3111496,-1.994980335,M,130,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M487/94,Cetacean,Harbour porpoise,Single,48,Phocoena phocoena,Harbour porpoise,1994-03-07,Exact,57.75301361,-3.913882256,M,138,FALSE,advanced decomposition (code 4),necropsied,1994,Modern
M488/94,Cetacean,Harbour porpoise,Single,48,Phocoena phocoena,Harbour porpoise,1994-03-08,Exact,57.94123077,-4.001615047,U,120,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M623/94,Cetacean,Harbour porpoise,Single,62,Phocoena phocoena,Harbour porpoise,1994-03-23,Exact,58.19616699,-6.354887962,U,130,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M764/94,Cetacean,Harbour porpoise,Single,76,Phocoena phocoena,Harbour porpoise,1994-03-26,Exact,57.36555099,-7.409674644,U,107,TRUE,advanced decomposition (code 4),sampled,1994,Modern
M958/94,Cetacean,Harbour porpoise,Single,95,Phocoena phocoena,Harbour porpoise,1994-03-30,Exact,60.1841507,-1.511393905,M,140,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M653/94,Cetacean,Harbour porpoise,Single,65,Phocoena phocoena,Harbour porpoise,1994-03-31,Exact,57.5790329,-4.118830681,F,112,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M678/94,Cetacean,Harbour porpoise,Single,67,Phocoena phocoena,Harbour porpoise,1994-04-02,Exact,57.70394135,-3.486692905,F,129,TRUE,indeterminate (code 5),sampled,1994,Modern
M796/94,Cetacean,Harbour porpoise,Single,79,Phocoena phocoena,Harbour porpoise,1994-04-18,Exact,56.00107574,-3.351697922,U,100,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M809/94,Cetacean,Harbour porpoise,Single,80,Phocoena phocoena,Harbour porpoise,1994-04-20,Exact,55.5797081,-4.663549423,U,110,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M844/94,Cetacean,Harbour porpoise,Single,84,Phocoena phocoena,Harbour porpoise,1994-04-23,Exact,57.56142426,-4.042571545,M,106,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M2715/94,Cetacean,Harbour porpoise,Single,271,Phocoena phocoena,Harbour porpoise,1994-04-26,Exact,58.87251282,-2.920808077,U,146,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M948/94,Cetacean,Harbour porpoise,Single,94,Phocoena phocoena,Harbour porpoise,1994-05-04,Exact,57.6569519,-4.024481773,U,100,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M1005/94,Cetacean,Harbour porpoise,Single,100,Phocoena phocoena,Harbour porpoise,1994-05-13,Exact,57.71178818,-3.260408878,U,150,TRUE,indeterminate (code 5),sampled,1994,Modern
M1034/94,Cetacean,Harbour porpoise,Single,103,Phocoena phocoena,Harbour porpoise,1994-05-17,Exact,57.69381714,-2.825300932,M,77,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1102/94,Cetacean,Harbour porpoise,Single,110,Phocoena phocoena,Harbour porpoise,1994-05-26,Exact,58.59947586,-4.020167351,M,82,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M1111/94,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,1994-05-27,Exact,54.90884781,-5.020053387,U,100,TRUE,alive- refloated (code 1),not necropsied,1994,Modern
M1122/94,Cetacean,Harbour porpoise,Single,112,Phocoena phocoena,Harbour porpoise,1994-05-28,Exact,54.92492294,-5.060287952,U,100,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M1115/94,Cetacean,Harbour porpoise,Single,111,Phocoena phocoena,Harbour porpoise,1994-05-30,Exact,57.50981903,-4.225011826,U,120,TRUE,indeterminate (code 5),not necropsied,1994,Modern
M1125/94,Cetacean,Harbour porpoise,Single,112,Phocoena phocoena,Harbour porpoise,1994-05-30,Exact,58.68122101,-3.493579149,U,80,TRUE,freshly dead- died on beach (code 2a),not necropsied,1994,Modern
M1215/94,Cetacean,Harbour porpoise,Single,121,Phocoena phocoena,Harbour porpoise,1994-06-04,Exact,57.14314651,-2.071026802,U,NA,TRUE,unknown,not necropsied,1994,Modern
M1239/94,Cetacean,Harbour porpoise,Single,123,Phocoena phocoena,Harbour porpoise,1994-06-06,Exact,56.05183792,-3.681040764,U,NA,TRUE,unknown,not necropsied,1994,Modern
M1167/94,Cetacean,Harbour porpoise,Single,116,Phocoena phocoena,Harbour porpoise,1994-06-07,Exact,57.67372894,-2.995849609,F,75,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1241/94,Cetacean,Harbour porpoise,Single,124,Phocoena phocoena,Harbour porpoise,1994-06-17,Exact,60.43890381,-1.449419618,U,65,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M1267/94,Cetacean,Harbour porpoise,Single,126,Phocoena phocoena,Harbour porpoise,1994-06-21,Exact,57.43816757,-7.395380974,F,77,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M1301/94,Cetacean,Harbour porpoise,Single,130,Phocoena phocoena,Harbour porpoise,1994-06-27,Exact,57.6173172,-4.085901737,U,100,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M1318/94,Cetacean,Harbour porpoise,Single,131,Phocoena phocoena,Harbour porpoise,1994-06-28,Exact,56.2096405,-2.955966949,F,78.7,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1349/94,Cetacean,Harbour porpoise,Single,134,Phocoena phocoena,Harbour porpoise,1994-07-01,Exact,55.98523331,-4.896630287,M,138,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1428/94,Cetacean,Harbour porpoise,Single,142,Phocoena phocoena,Harbour porpoise,1994-07-13,Exact,57.02881241,-7.454589844,U,60,TRUE,advanced decomposition (code 4),sampled,1994,Modern
M1646/94,Cetacean,Harbour porpoise,Single,164,Phocoena phocoena,Harbour porpoise,1994-07-14,Exact,57.89450836,-7.048509121,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M1541/94,Cetacean,Harbour porpoise,Single,154,Phocoena phocoena,Harbour porpoise,1994-07-28,Exact,57.57401657,-4.096797466,F,154,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1641/94,Cetacean,Harbour porpoise,Single,164,Phocoena phocoena,Harbour porpoise,1994-07-29,Exact,57.5412941,-7.40396452,M,142,TRUE,advanced decomposition (code 4),sampled,1994,Modern
M1661/94,Cetacean,Harbour porpoise,Single,166,Phocoena phocoena,Harbour porpoise,1994-08-11,Exact,55.96112442,-2.395606041,F,147,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1719/94,Cetacean,Harbour porpoise,Single,171,Phocoena phocoena,Harbour porpoise,1994-08-21,Exact,60.50130081,-1.56852591,F,135,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M1710/94,Cetacean,Harbour porpoise,Single,171,Phocoena phocoena,Harbour porpoise,1994-08-22,Exact,57.67742157,-3.980342627,M,118,FALSE,advanced decomposition (code 4),necropsied,1994,Modern
M1873/94,Cetacean,Harbour porpoise,Single,187,Phocoena phocoena,Harbour porpoise,1994-08-27,Exact,55.95394897,-3.122618675,U,NA,TRUE,alive- refloated (code 1),not necropsied,1994,Modern
M1864/94,Cetacean,Harbour porpoise,Single,186,Phocoena phocoena,Harbour porpoise,1994-09-02,Exact,57.17879868,-7.420396328,U,167,TRUE,advanced decomposition (code 4),sampled,1994,Modern
M1836/94,Cetacean,Harbour porpoise,Single,183,Phocoena phocoena,Harbour porpoise,1994-09-02,Exact,57.58901978,-4.112714291,M,102,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1951/94,Cetacean,Harbour porpoise,Single,195,Phocoena phocoena,Harbour porpoise,1994-09-16,Exact,56.51966095,-6.88779068,F,148,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M1952/94,Cetacean,Harbour porpoise,Single,195,Phocoena phocoena,Harbour porpoise,1994-09-17,Exact,57.76318741,-3.894240856,F,150,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M1987/94,Cetacean,Harbour porpoise,Single,198,Phocoena phocoena,Harbour porpoise,1994-09-21,Exact,57.69220352,-4.011334419,F,104,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M2060/94,Cetacean,Harbour porpoise,Single,206,Phocoena phocoena,Harbour porpoise,1994-09-29,Exact,57.75027084,-3.917097569,M,122,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M2179/94,Cetacean,Harbour porpoise,Single,217,Phocoena phocoena,Harbour porpoise,1994-10-14,Exact,57.57392502,-4.101807594,M,130,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M2250/94,Cetacean,Harbour porpoise,Single,225,Phocoena phocoena,Harbour porpoise,1994-10-23,Exact,57.70739746,-4.126329422,M,122,FALSE,Slight decomposition (code 2b),necropsied,1994,Modern
M2297/94,Cetacean,Harbour porpoise,Single,229,Phocoena phocoena,Harbour porpoise,1994-10-28,Exact,56.97459793,-7.520817757,F,110,FALSE,advanced decomposition (code 4),necropsied,1994,Modern
M2294/94,Cetacean,Harbour porpoise,Single,229,Phocoena phocoena,Harbour porpoise,1994-10-28,Exact,56.83203888,-2.273630381,M,142,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M2494/94,Cetacean,Harbour porpoise,Single,249,Phocoena phocoena,Harbour porpoise,1994-11-16,Exact,57.23957062,-7.450910091,M,160,TRUE,unknown,sampled,1994,Modern
M2545/94,Cetacean,Harbour porpoise,Single,254,Phocoena phocoena,Harbour porpoise,1994-12-01,Exact,56.34728241,-2.805688858,F,121,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M2553/94,Cetacean,Harbour porpoise,Single,255,Phocoena phocoena,Harbour porpoise,1994-12-03,Exact,55.75165176,-4.928692341,M,111,FALSE,freshly dead- died on beach (code 2a),necropsied,1994,Modern
M2586/94,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1994-12-06,Exact,57.7505188,-3.900310755,U,120,TRUE,advanced decomposition (code 4),not necropsied,1994,Modern
M2587/94,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1994-12-09,Exact,57.69313812,-3.489607096,M,104,FALSE,advanced decomposition (code 4),necropsied,1994,Modern
M204/95,Cetacean,Harbour porpoise,Single,20,Phocoena phocoena,Harbour porpoise,1995-01-23,Exact,55.98543549,-2.899141073,F,100,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M170/95,Cetacean,Harbour porpoise,Single,17,Phocoena phocoena,Harbour porpoise,1995-01-26,Exact,57.23828125,-7.439105511,F,125,TRUE,advanced decomposition (code 4),sampled,1995,Modern
M435/95,Cetacean,Harbour porpoise,Single,43,Phocoena phocoena,Harbour porpoise,1995-02-13,Exact,56.84156418,-6.255196571,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M349/95,Cetacean,Harbour porpoise,Single,34,Phocoena phocoena,Harbour porpoise,1995-02-25,Exact,54.92142487,-3.60392642,F,114,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M438/95,Cetacean,Harbour porpoise,Single,43,Phocoena phocoena,Harbour porpoise,1995-03-09,Exact,60.09925079,-1.221333504,F,161,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M446/95,Cetacean,Harbour porpoise,Single,44,Phocoena phocoena,Harbour porpoise,1995-03-13,Exact,59.92004776,-1.28991425,F,147,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M529/95,Cetacean,Harbour porpoise,Single,52,Phocoena phocoena,Harbour porpoise,1995-03-21,Exact,58.85549545,-2.913431406,F,163,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M584/95,Cetacean,Harbour porpoise,Single,58,Phocoena phocoena,Harbour porpoise,1995-03-29,Exact,55.48608017,-4.628726959,F,170,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M750/95,Cetacean,Harbour porpoise,Single,75,Phocoena phocoena,Harbour porpoise,1995-04-22,Exact,58.20898438,-6.295135975,M,148,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M752/95,Cetacean,Harbour porpoise,Single,75,Phocoena phocoena,Harbour porpoise,1995-04-23,Exact,57.69378281,-2.830325603,M,123,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M765/95,Cetacean,Harbour porpoise,Single,76,Phocoena phocoena,Harbour porpoise,1995-04-25,Exact,57.6931076,-2.927598953,M,111,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M811/95,Cetacean,Harbour porpoise,Single,81,Phocoena phocoena,Harbour porpoise,1995-05-03,Exact,57.60224533,-4.018091202,M,129,FALSE,Slight decomposition (code 2b),necropsied,1995,Modern
M872/95,Cetacean,Harbour porpoise,Single,87,Phocoena phocoena,Harbour porpoise,1995-05-10,Exact,56.11333084,-4.838675499,U,100,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M887/95,Cetacean,Harbour porpoise,Single,88,Phocoena phocoena,Harbour porpoise,1995-05-11,Exact,57.68284988,-4.034310818,M,110,FALSE,advanced decomposition (code 4),necropsied,1995,Modern
M1103/95,Cetacean,Harbour porpoise,Single,110,Phocoena phocoena,Harbour porpoise,1995-06-10,Exact,57.27251816,-2.021517992,M,78,FALSE,Slight decomposition (code 2b),necropsied,1995,Modern
M1158/95,Cetacean,Harbour porpoise,Single,115,Phocoena phocoena,Harbour porpoise,1995-06-12,Exact,56.05912399,-2.713503361,U,75,TRUE,freshly dead- died on beach (code 2a),not necropsied,1995,Modern
M1147/95,Cetacean,Harbour porpoise,Single,114,Phocoena phocoena,Harbour porpoise,1995-06-17,Exact,55.9727211,-2.42136097,M,88,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M1748/95,Cetacean,Harbour porpoise,Single,174,Phocoena phocoena,Harbour porpoise,1995-06-23,Exact,57.18716431,-2.07275486,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M1190/95,Cetacean,Harbour porpoise,Single,119,Phocoena phocoena,Harbour porpoise,1995-06-23,Exact,57.92696381,-5.220355034,F,148,FALSE,advanced decomposition (code 4),necropsied,1995,Modern
M1749/95,Cetacean,Harbour porpoise,Single,174,Phocoena phocoena,Harbour porpoise,1995-06-29,Exact,57.40629196,-1.861819386,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M1579/95,Cetacean,Harbour porpoise,Single,157,Phocoena phocoena,Harbour porpoise,1995-07-03,Exact,55.91405487,-2.145541668,M,136,FALSE,Slight decomposition (code 2b),necropsied,1995,Modern
M1220/95,Cetacean,Harbour porpoise,Single,122,Phocoena phocoena,Harbour porpoise,1995-07-03,Exact,57.68678665,-2.93248415,F,132,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M1303/95,Cetacean,Harbour porpoise,Single,130,Phocoena phocoena,Harbour porpoise,1995-07-13,Exact,57.57409668,-4.091786861,F,124,FALSE,advanced decomposition (code 4),necropsied,1995,Modern
M2111/95,Cetacean,Harbour porpoise,Single,211,Phocoena phocoena,Harbour porpoise,1995-07-26,Exact,57.82663345,-2.506737232,U,NA,TRUE,freshly dead- died on beach (code 2a),not necropsied,1995,Modern
M1546/95,Cetacean,Harbour porpoise,Single,154,Phocoena phocoena,Harbour porpoise,1995-08-14,Exact,57.24915695,-2.041396379,U,100,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M1575/95,Cetacean,Harbour porpoise,Single,157,Phocoena phocoena,Harbour porpoise,1995-08-15,Exact,57.49028397,-4.262198448,F,119,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M1679/95,Cetacean,Harbour porpoise,Single,167,Phocoena phocoena,Harbour porpoise,1995-08-24,Exact,57.70399475,-3.030242443,M,104,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M1744/95,Cetacean,Harbour porpoise,Single,174,Phocoena phocoena,Harbour porpoise,1995-09-04,Exact,57.15930939,-2.077659607,M,152,FALSE,advanced decomposition (code 4),necropsied,1995,Modern
M2113/95,Cetacean,Harbour porpoise,Single,211,Phocoena phocoena,Harbour porpoise,1995-09-14,Exact,58.03081894,-5.507584572,U,NA,TRUE,freshly dead- died on beach (code 2a),not necropsied,1995,Modern
M2581/95,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1995-09-16,Exact,58.21002197,-7.051948071,U,170,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M2000/95,Cetacean,Harbour porpoise,Single,200,Phocoena phocoena,Harbour porpoise,1995-10-04,Exact,57.7385025,-3.923197508,M,138,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M2016/95,Cetacean,Harbour porpoise,Single,201,Phocoena phocoena,Harbour porpoise,1995-10-06,Exact,57.75304031,-3.912198305,F,104,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M2583/95,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1995-10-14,Exact,57.52207947,-7.668395996,U,NA,TRUE,unknown,not necropsied,1995,Modern
M2283/95,Cetacean,Harbour porpoise,Single,228,Phocoena phocoena,Harbour porpoise,1995-10-28,Exact,57.35413742,-7.402990341,U,150,TRUE,indeterminate (code 5),sampled,1995,Modern
M2582/95,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1995-10-31,Exact,57.80866623,-7.098398209,U,80,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M2335/95,Cetacean,Harbour porpoise,Single,233,Phocoena phocoena,Harbour porpoise,1995-11-17,Exact,58.8013649,-3.166418314,M,152,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M2461/95,Cetacean,Harbour porpoise,Single,246,Phocoena phocoena,Harbour porpoise,1995-12-06,Exact,58.02455139,-3.838617325,F,131,FALSE,advanced decomposition (code 4),necropsied,1995,Modern
M2516/95,Cetacean,Harbour porpoise,Single,251,Phocoena phocoena,Harbour porpoise,1995-12-18,Exact,57.20602798,-2.062862396,M,153,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M2580/95,Cetacean,Harbour porpoise,Single,258,Phocoena phocoena,Harbour porpoise,1995-12-20,Exact,56.84282303,-2.273716688,U,NA,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M2578/95,Cetacean,Harbour porpoise,Single,257,Phocoena phocoena,Harbour porpoise,1995-12-21,Exact,56.00781631,-3.392028809,M,102,FALSE,moderate decomposition (code 3),necropsied,1995,Modern
M2548/95,Cetacean,Harbour porpoise,Single,254,Phocoena phocoena,Harbour porpoise,1995-12-22,Exact,57.60085297,-4.10336256,F,139,FALSE,freshly dead- died on beach (code 2a),necropsied,1995,Modern
M2566/95,Cetacean,Harbour porpoise,Single,256,Phocoena phocoena,Harbour porpoise,1995-12-25,Exact,57.75396347,-3.910571098,U,150,TRUE,advanced decomposition (code 4),not necropsied,1995,Modern
M62/96,Cetacean,Harbour porpoise,Single,6,Phocoena phocoena,Harbour porpoise,1996-01-03,Exact,56.03873444,-2.858645439,U,100,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M10/96,Cetacean,Harbour porpoise,Single,1,Phocoena phocoena,Harbour porpoise,1996-01-04,Exact,57.15661621,-2.077660322,F,130,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M37/96,Cetacean,Harbour porpoise,Single,3,Phocoena phocoena,Harbour porpoise,1996-01-09,Exact,57.17189407,-2.076037169,U,130,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M63/96,Cetacean,Harbour porpoise,Single,6,Phocoena phocoena,Harbour porpoise,1996-01-10,Exact,57.56886673,-7.453290939,M,106,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M82/96,Cetacean,Harbour porpoise,Single,8,Phocoena phocoena,Harbour porpoise,1996-01-15,Exact,56.73815536,-2.434789181,U,140,TRUE,freshly dead- died on beach (code 2a),not necropsied,1996,Modern
M83/96,Cetacean,Harbour porpoise,Single,8,Phocoena phocoena,Harbour porpoise,1996-01-15,Exact,56.72166443,-2.516302824,U,120,TRUE,indeterminate (code 5),not necropsied,1996,Modern
M75/96,Cetacean,Harbour porpoise,Single,7,Phocoena phocoena,Harbour porpoise,1996-01-16,Exact,56.20286179,-2.768814802,M,150,FALSE,advanced decomposition (code 4),necropsied,1996,Modern
M146/96,Cetacean,Harbour porpoise,Single,14,Phocoena phocoena,Harbour porpoise,1996-01-28,Exact,57.168293,-2.077683926,M,109,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M225/96,Cetacean,Harbour porpoise,Single,22,Phocoena phocoena,Harbour porpoise,1996-02-12,Exact,60.22547913,-1.314017415,F,110,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
M271/96,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1996-02-19,Exact,57.13866425,-2.046227932,U,80,TRUE,freshly dead- died on beach (code 2a),not necropsied,1996,Modern
M284/96,Cetacean,Harbour porpoise,Single,28,Phocoena phocoena,Harbour porpoise,1996-02-22,Exact,58.90686417,-3.310605764,M,157,TRUE,advanced decomposition (code 4),sampled,1996,Modern
M274/96,Cetacean,Harbour porpoise,Single,27,Phocoena phocoena,Harbour porpoise,1996-02-22,Exact,57.66447067,-3.029117584,U,100,TRUE,alive- refloated (code 1),not necropsied,1996,Modern
M1298/96,Cetacean,Harbour porpoise,Single,129,Phocoena phocoena,Harbour porpoise,1996-03-01,Exact,56.10596085,-3.794349194,M,120,TRUE,freshly dead- died on beach (code 2a),not necropsied,1996,Modern
M359/96,Cetacean,Harbour porpoise,Single,35,Phocoena phocoena,Harbour porpoise,1996-03-01,Exact,56.19494247,-2.878250599,F,150,TRUE,advanced decomposition (code 4),not necropsied,1996,Modern
M381/96,Cetacean,Harbour porpoise,Single,38,Phocoena phocoena,Harbour porpoise,1996-03-09,Exact,54.91013336,-5.004554272,U,100,TRUE,freshly dead- died on beach (code 2a),not necropsied,1996,Modern
M398/96,Cetacean,Harbour porpoise,Single,39,Phocoena phocoena,Harbour porpoise,1996-03-14,Exact,57.82071304,-3.831590891,M,133,FALSE,Slight decomposition (code 2b),necropsied,1996,Modern
M400/96,Cetacean,Harbour porpoise,Single,40,Phocoena phocoena,Harbour porpoise,1996-03-15,Exact,57.72756958,-3.93269825,F,119,FALSE,freshly dead- died on beach (code 2a),necropsied,1996,Modern
